Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,Home_Win
7,Packers,Broncos,Broncos,337,3566,10.6,28,44,13,60,154,45.7,7,374,4210,11.3,32,56,7,77,211,56.4,5,1
14,Packers,Giants,Giants,338,3351,9.9,15,44,7,80,141,41.7,3,374,4210,11.3,32,56,7,77,211,56.4,5,1
12,Packers,Lions,Packers,408,4606,11.3,30,70,9,70,228,55.9,4,374,4210,11.3,32,56,7,77,211,56.4,5,0
16,Packers,Panthers,Packers,350,3245,9.3,13,31,5,48,150,42.9,7,374,4210,11.3,32,56,7,77,211,56.4,5,0
5,Packers,Raiders,Raiders,348,3666,10.5,20,35,5,50,182,52.3,3,374,4210,11.3,32,56,7,77,211,56.4,5,1
5,Texans,Falcons,Falcons,327,3775,11.5,17,46,10,75,181,55.4,2,372,4578,12.3,27,69,10,75,215,57.8,3,1
18,Texans,Colts,Texans,355,3882,10.9,18,45,11,75,178,50.1,3,372,4578,12.3,27,69,10,75,215,57.8,3,0
1,Texans,Ravens,Ravens,328,3881,11.8,27,52,9,80,180,54.9,6,372,4578,12.3,27,69,10,75,215,57.8,3,1
14,Texans,Jets,Jets,356,3373,9.5,11,37,3,68,156,43.8,2,372,4578,12.3,27,69,10,75,215,57.8,3,1
10,Texans,Bengals,Texans,420,4257,10.1,27,46,10,80,208,49.5,3,372,4578,12.3,27,69,10,75,215,57.8,3,0
15,Texans,Titans,Texans,304,3512,11.6,14,54,10,70,158,52.0,2,372,4578,12.3,27,69,10,75,215,57.8,3,0
3,Texans,Jaguars,Texans,412,4377,10.6,22,51,10,65,199,48.3,8,372,4578,12.3,27,69,10,75,215,57.8,3,0
8,Texans,Panthers,Panthers,350,3245,9.3,13,31,5,48,150,42.9,7,372,4578,12.3,27,69,10,75,215,57.8,3,1
6,Commanders,Falcons,Commanders,327,3775,11.5,17,46,10,75,181,55.4,2,407,4174,10.3,24,48,5,51,190,46.7,5,0
2,Commanders,Broncos,Commanders,337,3566,10.6,28,44,13,60,154,45.7,7,407,4174,10.3,24,48,5,51,190,46.7,5,0
4,Commanders,Eagles,Eagles,369,4067,11.0,24,50,7,63,197,53.4,4,407,4174,10.3,24,48,5,51,190,46.7,5,1
10,Commanders,Seahawks,Seahawks,371,4167,11.2,23,56,6,73,189,50.9,0,407,4174,10.3,24,48,5,51,190,46.7,5,1
7,Commanders,Giants,Giants,338,3351,9.9,15,44,7,80,141,41.7,3,407,4174,10.3,24,48,5,51,190,46.7,5,1
16,Commanders,Jets,Jets,356,3373,9.5,11,37,3,68,156,43.8,2,407,4174,10.3,24,48,5,51,190,46.7,5,1
15,Commanders,Rams,Rams,361,4300,11.9,26,64,8,80,206,57.1,4,407,4174,10.3,24,48,5,51,190,46.7,5,1
12,Commanders,Cowboys,Cowboys,428,4660,10.9,36,64,7,92,229,53.5,6,407,4174,10.3,24,48,5,51,190,46.7,5,1
9,Commanders,Patriots,Commanders,351,3392,9.7,16,34,4,58,153,43.6,5,407,4174,10.3,24,48,5,51,190,46.7,5,0
9,Vikings,Falcons,Vikings,327,3775,11.5,17,46,10,75,181,55.4,2,424,4700,11.1,30,74,7,62,220,51.9,4,0
6,Vikings,Bears,Vikings,321,3421,10.7,19,48,5,58,169,52.6,4,424,4700,11.1,30,74,7,62,220,51.9,4,0
11,Vikings,Broncos,Broncos,337,3566,10.6,28,44,13,60,154,45.7,7,424,4700,11.1,30,74,7,62,220,51.9,4,1
2,Vikings,Eagles,Eagles,369,4067,11.0,24,50,7,63,197,53.4,4,424,4700,11.1,30,74,7,62,220,51.9,4,1
15,Vikings,Bengals,Bengals,420,4257,10.1,27,46,10,80,208,49.5,3,424,4700,11.1,30,74,7,62,220,51.9,4,1
18,Vikings,Lions,Lions,408,4606,11.3,30,70,9,70,228,55.9,4,424,4700,11.1,30,74,7,62,220,51.9,4,1
4,Vikings,Panthers,Vikings,350,3245,9.3,13,31,5,48,150,42.9,7,424,4700,11.1,30,74,7,62,220,51.9,4,0
8,Vikings,Packers,Vikings,374,4210,11.3,32,56,7,77,211,56.4,5,424,4700,11.1,30,74,7,62,220,51.9,4,0
14,Vikings,Raiders,Vikings,348,3666,10.5,20,35,5,50,182,52.3,3,424,4700,11.1,30,74,7,62,220,51.9,4,0
12,Saints,Falcons,Falcons,327,3775,11.5,17,46,10,75,181,55.4,2,406,4225,10.4,28,52,11,58,199,49.0,0,1
8,Saints,Colts,Saints,355,3882,10.9,18,45,11,75,178,50.1,3,406,4225,10.4,28,52,11,58,199,49.0,0,0
10,Saints,Vikings,Vikings,424,4700,11.1,30,74,7,62,220,51.9,4,406,4225,10.4,28,52,11,58,199,49.0,0,1
17,Saints,Buccaneers,Saints,364,4044,11.1,28,60,12,75,188,51.6,7,406,4225,10.4,28,52,11,58,199,49.0,0,0
6,Saints,Texans,Texans,372,4578,12.3,27,69,10,75,215,57.8,3,406,4225,10.4,28,52,11,58,199,49.0,0,1
