Week,Away Team,Home Team,Winning Team,offense_pa_Att_home,offense_pa_Cmp_home,offense_pa_Cmp %_home,offense_pa_Yds/Att_home,offense_pa_Pass Yds_home,offense_pa_TD_home,offense_pa_INT_home,offense_pa_Rate_home,offense_pa_1st_home,offense_pa_1st%_home,offense_pa_20_home,offense_pa_40_home,offense_pa_Lng_home,offense_pa_Sck_home,offense_pa_SckY_home,offense_ru_Att_home,offense_ru_Rush Yds_home,offense_ru_YPC_home,offense_ru_TD_home,offense_ru_20_home,offense_ru_40_home,offense_ru_Lng_home,offense_ru_Rush 1st_home,offense_ru_Rush 1st%_home,offense_ru_Rush FUM_home,offense_re_Rec_home,offense_re_Yds_home,offense_re_Yds/Rec_home,offense_re_TD_home,offense_re_20_home,offense_re_40_home,offense_re_Lng_home,offense_re_Rec 1st_home,offense_re_Rec 1st%_home,offense_re_Rec FUM_home,offense_do_3rd Att_home,offense_do_3rd Md_home,offense_do_4th Att_home,offense_do_4th Md_home,offense_do_Rec 1st_home,offense_do_Rec 1st%_home,offense_do_Rush 1st_home,offense_do_Rush 1st%_home,offense_do_Scrm Plys_home,offense_sc_Rsh TD_home,offense_sc_Rec TD_home,offense_sc_Tot TD_home,offense_sc_2-PT_home,offense_pa_Att_away,offense_pa_Cmp_away,offense_pa_Cmp %_away,offense_pa_Yds/Att_away,offense_pa_Pass Yds_away,offense_pa_TD_away,offense_pa_INT_away,offense_pa_Rate_away,offense_pa_1st_away,offense_pa_1st%_away,offense_pa_20_away,offense_pa_40_away,offense_pa_Lng_away,offense_pa_Sck_away,offense_pa_SckY_away,offense_ru_Att_away,offense_ru_Rush Yds_away,offense_ru_YPC_away,offense_ru_TD_away,offense_ru_20_away,offense_ru_40_away,offense_ru_Lng_away,offense_ru_Rush 1st_away,offense_ru_Rush 1st%_away,offense_ru_Rush FUM_away,offense_re_Rec_away,offense_re_Yds_away,offense_re_Yds/Rec_away,offense_re_TD_away,offense_re_20_away,offense_re_40_away,offense_re_Lng_away,offense_re_Rec 1st_away,offense_re_Rec 1st%_away,offense_re_Rec FUM_away,offense_do_3rd Att_away,offense_do_3rd Md_away,offense_do_4th Att_away,offense_do_4th Md_away,offense_do_Rec 1st_away,offense_do_Rec 1st%_away,offense_do_Rush 1st_away,offense_do_Rush 1st%_away,offense_do_Scrm Plys_away,offense_sc_Rsh TD_away,offense_sc_Rec TD_away,offense_sc_Tot TD_away,offense_sc_2-PT_away,Home_Win
16,Jaguars,Buccaneers,Buccaneers,568,364,64.1,7.1,4044,28,10,94.2,188,33.1,60,12,75,40,232,439,1509,3.4,8,5,0,38,79,18.0,4,364,4044,11.1,28,60,12,75,188,51.6,7,236,98,18,12,188,51.6,79,18.0,1047,8,28,37,2,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,1
12,Jaguars,Texans,Jaguars,592,372,62.8,7.7,4578,27,8,96.2,215,36.3,69,10,75,47,405,444,1647,3.7,10,4,0,24,84,18.9,5,372,4578,12.3,27,69,10,75,215,57.8,3,232,88,21,8,215,57.8,84,18.9,1083,10,27,40,2,620,412,66.4,7.1,4377,22,14,89.3,199,32.1,51,10,65,41,251,453,1646,3.6,17,9,1,62,98,21.6,5,412,4377,10.6,22,51,10,65,199,48.3,8,228,87,29,13,199,48.3,98,21.6,1114,17,22,41,3,0
17,Jets,Browns,Browns,624,355,56.9,6.4,4011,24,23,73.7,173,27.7,53,15,75,45,318,518,2017,3.9,15,9,3,69,121,23.4,9,355,4011,11.3,24,53,15,75,173,48.7,5,253,80,32,18,173,48.7,121,23.4,1187,15,24,42,6,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,1
5,Jets,Broncos,Jets,513,337,65.7,7.0,3566,28,9,96.7,154,30.0,44,13,60,52,304,451,1810,4.0,8,9,0,38,116,25.7,5,337,3566,10.6,28,44,13,60,154,45.7,7,220,81,20,13,154,45.7,116,25.7,1016,8,28,38,4,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,0
8,Jets,Giants,Jets,518,338,65.2,6.5,3351,15,12,83.4,141,27.2,44,7,80,85,465,454,1874,4.1,10,12,0,36,97,21.4,8,338,3351,9.9,15,44,7,80,141,41.7,3,248,75,37,18,141,41.7,97,21.4,1057,10,15,29,1,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,0
11,Jets,Bills,Bills,579,385,66.5,7.4,4306,29,18,92.2,199,34.4,49,9,81,24,152,512,2212,4.3,22,9,1,42,158,30.9,9,385,4306,11.2,29,49,9,81,199,51.7,6,219,109,16,9,199,51.7,158,30.9,1115,22,29,54,3,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,1
2,Jets,Cowboys,Cowboys,614,428,69.7,7.6,4660,36,10,104.6,229,37.3,64,7,92,40,263,468,1920,4.1,14,12,1,46,113,24.2,4,428,4660,10.9,36,64,7,92,229,53.5,6,230,111,23,13,229,53.5,113,24.2,1122,14,36,57,4,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,1
18,Jets,Patriots,Jets,557,351,63.0,6.1,3392,16,21,73.8,153,27.5,34,4,58,48,323,415,1627,3.9,9,3,1,64,93,22.4,3,351,3392,9.7,16,34,4,58,153,43.6,5,222,67,25,9,153,43.6,93,22.4,1020,9,16,27,0,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,0
15,Jets,Dolphins,Dolphins,566,393,69.4,8.3,4698,30,15,101.2,223,39.4,59,12,78,31,184,456,2308,5.1,27,17,8,76,113,24.8,13,393,4698,12.0,30,59,12,78,223,56.7,4,202,85,25,11,223,56.7,113,24.8,1053,27,30,61,0,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,1
10,Jets,Raiders,Raiders,557,348,62.5,6.6,3666,20,18,80.1,182,32.7,35,5,50,40,286,413,1542,3.7,11,7,3,63,83,20.1,5,348,3666,10.5,20,35,5,50,182,52.3,3,216,77,23,14,182,52.3,83,20.1,1010,11,20,36,2,601,356,59.2,5.6,3373,11,15,70.5,156,26.0,37,3,68,64,454,388,1647,4.2,7,9,4,83,77,19.8,11,356,3373,9.5,11,37,3,68,156,43.8,2,235,61,29,17,156,43.8,77,19.8,1053,7,11,22,3,1
4,Rams,Colts,Rams,574,355,61.8,6.8,3882,18,10,85.0,178,31.0,45,11,75,41,216,479,2059,4.3,19,14,4,56,113,23.6,4,355,3882,10.9,18,45,11,75,178,50.1,3,232,82,32,16,178,50.1,113,23.6,1094,19,18,42,4,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,0
14,Rams,Ravens,Ravens,494,328,66.4,7.9,3881,27,7,102.5,180,36.4,52,9,80,41,246,541,2661,4.9,26,21,4,60,144,26.6,7,328,3881,11.8,27,52,9,80,180,54.9,6,207,87,14,8,180,54.9,144,26.6,1076,26,27,55,2,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,1
1,Rams,Seahawks,Rams,575,371,64.5,7.2,4167,23,12,90.7,189,32.9,56,6,73,38,257,382,1580,4.1,11,13,1,45,93,24.4,2,371,4167,11.2,23,56,6,73,189,50.9,0,207,75,16,6,189,50.9,93,24.4,995,11,23,37,2,583,361,61.9,7.4,4300,26,13,90.0,206,35.3,64,8,80,34,237,477,2045,4.3,18,11,1,56,110,23.1,2,361,4300,11.9,26,64,8,80,206,57.1,4,226,95,21,13,206,57.1,110,23.1,1094,18,26,44,4,0
