Week,Away Team,Home Team,Winning Team,Avg_home,Ret_home,Yds_home,PRet T_home,20_home,40_home,Lng_home,FC_home,FUM_home,P Blk_home,Avg_away,Ret_away,Yds_away,PRet T_away,20_away,40_away,Lng_away,FC_away,FUM_away,P Blk_away,Home_Win
2,Ravens,Bengals,Ravens,10.2,34,346,1,4,1,81,16,1,0,14.4,29,417,1,6,2,76,27,0,0,0
6,Ravens,Titans,Ravens,7.9,42,330,0,1,0,21,14,3,0,14.4,29,417,1,6,2,76,27,0,0,0
15,Ravens,Jaguars,Ravens,10.2,29,297,0,4,1,48,17,2,0,14.4,29,417,1,6,2,76,27,0,0,0
8,Ravens,Cardinals,Ravens,9.2,31,286,0,2,1,49,11,1,0,14.4,29,417,1,6,2,76,27,0,0,0
16,Ravens,49ers,Ravens,8.0,34,273,0,0,0,19,13,2,0,14.4,29,417,1,6,2,76,27,0,0,0
6,49ers,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,8.0,34,273,0,0,0,19,13,2,0,1
7,49ers,Vikings,Vikings,7.8,37,289,0,3,0,25,14,1,0,8.0,34,273,0,0,0,19,13,2,0,1
1,49ers,Steelers,49ers,8.6,30,257,0,3,0,34,13,3,2,8.0,34,273,0,0,0,19,13,2,0,0
17,49ers,Commanders,49ers,7.9,35,278,0,3,1,61,14,2,0,8.0,34,273,0,0,0,19,13,2,0,0
13,49ers,Eagles,49ers,14.4,29,417,0,7,2,54,18,2,0,8.0,34,273,0,0,0,19,13,2,0,0
12,49ers,Seahawks,49ers,10.6,25,265,0,3,0,32,16,2,0,8.0,34,273,0,0,0,19,13,2,0,0
10,49ers,Jaguars,49ers,10.2,29,297,0,4,1,48,17,2,0,8.0,34,273,0,0,0,19,13,2,0,0
2,49ers,Rams,49ers,7.3,28,204,0,1,0,29,24,3,0,8.0,34,273,0,0,0,19,13,2,0,0
15,49ers,Cardinals,49ers,9.2,31,286,0,2,1,49,11,1,0,8.0,34,273,0,0,0,19,13,2,0,0
9,Cardinals,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,9.2,31,286,0,2,1,49,11,1,0,1
13,Cardinals,Steelers,Cardinals,8.6,30,257,0,3,0,34,13,3,2,9.2,31,286,0,2,1,49,11,1,0,0
1,Cardinals,Commanders,Commanders,7.9,35,278,0,3,1,61,14,2,0,9.2,31,286,0,2,1,49,11,1,0,1
16,Cardinals,Bears,Bears,8.2,23,188,0,1,0,31,21,2,0,9.2,31,286,0,2,1,49,11,1,0,1
17,Cardinals,Eagles,Cardinals,14.4,29,417,0,7,2,54,18,2,0,9.2,31,286,0,2,1,49,11,1,0,0
7,Cardinals,Seahawks,Seahawks,10.6,25,265,0,3,0,32,16,2,0,9.2,31,286,0,2,1,49,11,1,0,1
11,Cardinals,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,9.2,31,286,0,2,1,49,11,1,0,1
6,Cardinals,Rams,Rams,7.3,28,204,0,1,0,29,24,3,0,9.2,31,286,0,2,1,49,11,1,0,1
4,Cardinals,49ers,49ers,8.0,34,273,0,0,0,19,13,2,0,9.2,31,286,0,2,1,49,11,1,0,1
11,Steelers,Browns,Browns,8.4,41,343,0,1,0,21,36,2,0,8.6,30,257,0,3,0,34,13,3,2,1
15,Steelers,Colts,Colts,9.2,29,267,0,2,0,32,22,3,1,8.6,30,257,0,3,0,34,13,3,2,1
18,Steelers,Ravens,Steelers,14.4,29,417,1,6,2,76,27,0,0,8.6,30,257,0,3,0,34,13,3,2,0
17,Steelers,Seahawks,Steelers,10.6,25,265,0,3,0,32,16,2,0,8.6,30,257,0,3,0,34,13,3,2,0
12,Steelers,Bengals,Steelers,10.2,34,346,1,4,1,81,16,1,0,8.6,30,257,0,3,0,34,13,3,2,0
4,Steelers,Texans,Texans,9.7,30,292,0,2,0,22,24,2,0,8.6,30,257,0,3,0,34,13,3,2,1
