Week,Away Team,Home Team,Winning Team,FGM_home,Att_home,FG %_home,1-19 > A-M_home,20-29 > A-M_home,30-39 > A-M_home,40-49 > A-M_home,50-59 > A-M_home,60+ > A-M_home,Lng_home,FG Blk_home,FGM_away,Att_away,FG %_away,1-19 > A-M_away,20-29 > A-M_away,30-39 > A-M_away,40-49 > A-M_away,50-59 > A-M_away,60+ > A-M_away,Lng_away,FG Blk_away,Home_Win
12,Ravens,Chargers,Ravens,31,33,93.9,0,7,8,9,9,0,55,1,32,37,86.5,0,10,10,12,4,1,50,1,0
2,Ravens,Bengals,Ravens,26,31,83.9,0,5,6,8,12,0,56,0,32,37,86.5,0,10,10,12,4,1,50,1,0
6,Ravens,Titans,Ravens,29,30,96.7,0,9,9,6,6,0,53,0,32,37,86.5,0,10,10,12,4,1,50,1,0
15,Ravens,Jaguars,Ravens,30,37,81.1,0,4,10,13,10,0,56,1,32,37,86.5,0,10,10,12,4,1,50,1,0
8,Ravens,Cardinals,Ravens,28,33,84.8,0,6,8,7,11,1,62,0,32,37,86.5,0,10,10,12,4,1,50,1,0
16,Ravens,49ers,Ravens,21,25,84.0,0,7,9,6,3,0,57,0,32,37,86.5,0,10,10,12,4,1,50,1,0
6,49ers,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,21,25,84.0,0,7,9,6,3,0,57,0,1
7,49ers,Vikings,Vikings,24,30,80.0,1,7,9,6,7,0,54,1,21,25,84.0,0,7,9,6,3,0,57,0,1
1,49ers,Steelers,49ers,29,31,93.6,0,9,7,8,6,1,57,0,21,25,84.0,0,7,9,6,3,0,57,0,0
17,49ers,Commanders,49ers,19,24,79.2,0,3,7,9,4,1,61,1,21,25,84.0,0,7,9,6,3,0,57,0,0
13,49ers,Eagles,49ers,30,32,93.8,0,9,8,7,7,1,61,0,21,25,84.0,0,7,9,6,3,0,57,0,0
12,49ers,Seahawks,49ers,35,42,83.3,0,8,12,14,8,0,55,0,21,25,84.0,0,7,9,6,3,0,57,0,0
10,49ers,Jaguars,49ers,30,37,81.1,0,4,10,13,10,0,56,1,21,25,84.0,0,7,9,6,3,0,57,0,0
2,49ers,Rams,49ers,32,43,74.4,0,11,7,15,10,0,54,1,21,25,84.0,0,7,9,6,3,0,57,0,0
15,49ers,Cardinals,49ers,28,33,84.8,0,6,8,7,11,1,62,0,21,25,84.0,0,7,9,6,3,0,57,0,0
9,Cardinals,Browns,Browns,34,37,91.9,0,8,8,13,8,0,58,0,28,33,84.8,0,6,8,7,11,1,62,0,1
