Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
12,Commanders,Cowboys,Cowboys,211,79,37,19,166,53.9,108,23.5,1014,226,94,21,13,218,55.0,121,25.2,1117,1
9,Commanders,Patriots,Commanders,237,86,19,10,181,48.9,100,20.8,1091,226,94,21,13,218,55.0,121,25.2,1117,0
9,Vikings,Falcons,Vikings,228,77,23,11,183,53.8,105,21.0,1090,232,96,25,18,208,48.8,104,23.3,1095,0
6,Vikings,Bears,Vikings,222,98,23,10,196,47.8,88,22.7,1035,232,96,25,18,208,48.8,104,23.3,1095,0
11,Vikings,Broncos,Broncos,202,67,34,16,201,52.6,119,25.4,1083,232,96,25,18,208,48.8,104,23.3,1095,1
2,Vikings,Eagles,Eagles,233,108,34,19,222,52.2,111,27.1,1105,232,96,25,18,208,48.8,104,23.3,1095,1
15,Vikings,Bengals,Bengals,213,87,15,7,201,55.2,127,27.8,1055,232,96,25,18,208,48.8,104,23.3,1095,1
18,Vikings,Lions,Lions,202,75,26,15,209,56.3,91,22.3,1037,232,96,25,18,208,48.8,104,23.3,1095,1
4,Vikings,Panthers,Vikings,221,84,10,7,162,52.4,122,24.0,1016,232,96,25,18,208,48.8,104,23.3,1095,0
8,Vikings,Packers,Vikings,224,92,30,14,189,55.3,120,24.3,1061,232,96,25,18,208,48.8,104,23.3,1095,0
14,Vikings,Raiders,Vikings,227,94,26,14,187,49.7,117,24.4,1089,232,96,25,18,208,48.8,104,23.3,1095,0
12,Saints,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,226,78,26,11,167,50.2,100,21.6,1054,1
8,Saints,Colts,Saints,240,89,26,17,192,51.9,123,23.8,1137,226,78,26,11,167,50.2,100,21.6,1054,0
10,Saints,Vikings,Vikings,232,96,25,18,208,48.8,104,23.3,1095,226,78,26,11,167,50.2,100,21.6,1054,1
17,Saints,Buccaneers,Saints,225,92,25,12,213,52.7,101,23.9,1081,226,78,26,11,167,50.2,100,21.6,1054,0
6,Saints,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,226,78,26,11,167,50.2,100,21.6,1054,1
16,Saints,Rams,Rams,228,88,30,16,193,52.6,108,24.9,1078,226,78,26,11,167,50.2,100,21.6,1054,1
5,Saints,Patriots,Saints,237,86,19,10,181,48.9,100,20.8,1091,226,78,26,11,167,50.2,100,21.6,1054,0
2,Saints,Panthers,Saints,221,84,10,7,162,52.4,122,24.0,1016,226,78,26,11,167,50.2,100,21.6,1054,0
3,Saints,Packers,Packers,224,92,30,14,189,55.3,120,24.3,1061,226,78,26,11,167,50.2,100,21.6,1054,1
14,Buccaneers,Falcons,Buccaneers,228,77,23,11,183,53.8,105,21.0,1090,225,92,25,12,213,52.7,101,23.9,1081,0
12,Buccaneers,Colts,Colts,240,89,26,17,192,51.9,123,23.8,1137,225,92,25,12,213,52.7,101,23.9,1081,1
1,Buccaneers,Vikings,Buccaneers,232,96,25,18,208,48.8,104,23.3,1095,225,92,25,12,213,52.7,101,23.9,1081,0
4,Buccaneers,Saints,Buccaneers,226,78,26,11,167,50.2,100,21.6,1054,225,92,25,12,213,52.7,101,23.9,1081,0
8,Buccaneers,Bills,Bills,215,83,19,10,183,50.4,96,23.5,1015,225,92,25,12,213,52.7,101,23.9,1081,1
9,Buccaneers,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,225,92,25,12,213,52.7,101,23.9,1081,1
18,Buccaneers,Panthers,Buccaneers,221,84,10,7,162,52.4,122,24.0,1016,225,92,25,12,213,52.7,101,23.9,1081,0
11,Buccaneers,49ers,49ers,215,88,28,14,190,46.3,97,26.3,1038,225,92,25,12,213,52.7,101,23.9,1081,1
15,Buccaneers,Packers,Buccaneers,224,92,30,14,189,55.3,120,24.3,1061,225,92,25,12,213,52.7,101,23.9,1081,0
16,Colts,Falcons,Falcons,228,77,23,11,183,53.8,105,21.0,1090,240,89,26,17,192,51.9,123,23.8,1137,1
3,Colts,Ravens,Colts,250,91,32,13,175,45.6,96,23.1,1109,240,89,26,17,192,51.9,123,23.8,1137,0
14,Colts,Bengals,Bengals,213,87,15,7,201,55.2,127,27.8,1055,240,89,26,17,192,51.9,123,23.8,1137,1
13,Colts,Titans,Colts,231,89,21,12,189,48.8,103,21.5,1096,240,89,26,17,192,51.9,123,23.8,1137,0
6,Colts,Jaguars,Jaguars,230,84,41,21,198,49.0,99,23.5,1078,240,89,26,17,192,51.9,123,23.8,1137,1
2,Colts,Texans,Colts,227,81,29,16,185,48.4,110,23.5,1079,240,89,26,17,192,51.9,123,23.8,1137,0
10,Colts,Patriots,Colts,237,86,19,10,181,48.9,100,20.8,1091,240,89,26,17,192,51.9,123,23.8,1137,0
9,Colts,Panthers,Colts,221,84,10,7,162,52.4,122,24.0,1016,240,89,26,17,192,51.9,123,23.8,1137,0
3,Titans,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,231,89,21,12,189,48.8,103,21.5,1096,1
5,Titans,Colts,Colts,240,89,26,17,192,51.9,123,23.8,1137,231,89,21,12,189,48.8,103,21.5,1096,1
1,Titans,Saints,Saints,226,78,26,11,167,50.2,100,21.6,1054,231,89,21,12,189,48.8,103,21.5,1096,1
9,Titans,Steelers,Steelers,233,91,18,8,186,53.4,95,20.9,1074,231,89,21,12,189,48.8,103,21.5,1096,1
10,Titans,Buccaneers,Buccaneers,225,92,25,12,213,52.7,101,23.9,1081,231,89,21,12,189,48.8,103,21.5,1096,1
11,Titans,Jaguars,Jaguars,230,84,41,21,198,49.0,99,23.5,1078,231,89,21,12,189,48.8,103,21.5,1096,1
17,Titans,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,231,89,21,12,189,48.8,103,21.5,1096,1
14,Titans,Dolphins,Titans,216,84,30,14,186,49.0,109,25.2,1057,231,89,21,12,189,48.8,103,21.5,1096,0
4,Ravens,Browns,Ravens,230,67,15,6,136,44.3,87,20.7,1004,250,91,32,13,175,45.6,96,23.1,1109,0
5,Ravens,Steelers,Steelers,233,91,18,8,186,53.4,95,20.9,1074,250,91,32,13,175,45.6,96,23.1,1109,1
12,Ravens,Chargers,Ravens,232,89,32,19,203,52.2,110,23.6,1113,250,91,32,13,175,45.6,96,23.1,1109,0
2,Ravens,Bengals,Ravens,213,87,15,7,201,55.2,127,27.8,1055,250,91,32,13,175,45.6,96,23.1,1109,0
6,Ravens,Titans,Ravens,231,89,21,12,189,48.8,103,21.5,1096,250,91,32,13,175,45.6,96,23.1,1109,0
15,Ravens,Jaguars,Ravens,230,84,41,21,198,49.0,99,23.5,1078,250,91,32,13,175,45.6,96,23.1,1109,0
8,Ravens,Cardinals,Ravens,205,97,15,7,198,57.1,141,27.1,1060,250,91,32,13,175,45.6,96,23.1,1109,0
16,Ravens,49ers,Ravens,215,88,28,14,190,46.3,97,26.3,1038,250,91,32,13,175,45.6,96,23.1,1109,0
6,49ers,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,215,88,28,14,190,46.3,97,26.3,1038,1
7,49ers,Vikings,Vikings,232,96,25,18,208,48.8,104,23.3,1095,215,88,28,14,190,46.3,97,26.3,1038,1
1,49ers,Steelers,49ers,233,91,18,8,186,53.4,95,20.9,1074,215,88,28,14,190,46.3,97,26.3,1038,0
17,49ers,Commanders,49ers,226,94,21,13,218,55.0,121,25.2,1117,215,88,28,14,190,46.3,97,26.3,1038,0
13,49ers,Eagles,49ers,233,108,34,19,222,52.2,111,27.1,1105,215,88,28,14,190,46.3,97,26.3,1038,0
12,49ers,Seahawks,49ers,231,107,26,13,202,51.8,143,27.8,1147,215,88,28,14,190,46.3,97,26.3,1038,0
10,49ers,Jaguars,49ers,230,84,41,21,198,49.0,99,23.5,1078,215,88,28,14,190,46.3,97,26.3,1038,0
2,49ers,Rams,49ers,228,88,30,16,193,52.6,108,24.9,1078,215,88,28,14,190,46.3,97,26.3,1038,0
15,49ers,Cardinals,49ers,205,97,15,7,198,57.1,141,27.1,1060,215,88,28,14,190,46.3,97,26.3,1038,0
9,Cardinals,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,205,97,15,7,198,57.1,141,27.1,1060,1
13,Cardinals,Steelers,Cardinals,233,91,18,8,186,53.4,95,20.9,1074,205,97,15,7,198,57.1,141,27.1,1060,0
1,Cardinals,Commanders,Commanders,226,94,21,13,218,55.0,121,25.2,1117,205,97,15,7,198,57.1,141,27.1,1060,1
16,Cardinals,Bears,Bears,222,98,23,10,196,47.8,88,22.7,1035,205,97,15,7,198,57.1,141,27.1,1060,1
17,Cardinals,Eagles,Cardinals,233,108,34,19,222,52.2,111,27.1,1105,205,97,15,7,198,57.1,141,27.1,1060,0
7,Cardinals,Seahawks,Seahawks,231,107,26,13,202,51.8,143,27.8,1147,205,97,15,7,198,57.1,141,27.1,1060,1
11,Cardinals,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,205,97,15,7,198,57.1,141,27.1,1060,1
6,Cardinals,Rams,Rams,228,88,30,16,193,52.6,108,24.9,1078,205,97,15,7,198,57.1,141,27.1,1060,1
4,Cardinals,49ers,49ers,215,88,28,14,190,46.3,97,26.3,1038,205,97,15,7,198,57.1,141,27.1,1060,1
11,Steelers,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,233,91,18,8,186,53.4,95,20.9,1074,1
15,Steelers,Colts,Colts,240,89,26,17,192,51.9,123,23.8,1137,233,91,18,8,186,53.4,95,20.9,1074,1
18,Steelers,Ravens,Steelers,250,91,32,13,175,45.6,96,23.1,1109,233,91,18,8,186,53.4,95,20.9,1074,0
17,Steelers,Seahawks,Steelers,231,107,26,13,202,51.8,143,27.8,1147,233,91,18,8,186,53.4,95,20.9,1074,0
12,Steelers,Bengals,Steelers,213,87,15,7,201,55.2,127,27.8,1055,233,91,18,8,186,53.4,95,20.9,1074,0
4,Steelers,Texans,Texans,227,81,29,16,185,48.4,110,23.5,1079,233,91,18,8,186,53.4,95,20.9,1074,1
7,Steelers,Rams,Steelers,228,88,30,16,193,52.6,108,24.9,1078,233,91,18,8,186,53.4,95,20.9,1074,0
3,Steelers,Raiders,Steelers,227,94,26,14,187,49.7,117,24.4,1089,233,91,18,8,186,53.4,95,20.9,1074,0
14,Jaguars,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,230,84,41,21,198,49.0,99,23.5,1078,1
1,Jaguars,Colts,Jaguars,240,89,26,17,192,51.9,123,23.8,1137,230,84,41,21,198,49.0,99,23.5,1078,0
7,Jaguars,Saints,Jaguars,226,78,26,11,167,50.2,100,21.6,1054,230,84,41,21,198,49.0,99,23.5,1078,0
8,Jaguars,Steelers,Jaguars,233,91,18,8,186,53.4,95,20.9,1074,230,84,41,21,198,49.0,99,23.5,1078,0
5,Jaguars,Bills,Jaguars,215,83,19,10,183,50.4,96,23.5,1015,230,84,41,21,198,49.0,99,23.5,1078,0
18,Jaguars,Titans,Titans,231,89,21,12,189,48.8,103,21.5,1096,230,84,41,21,198,49.0,99,23.5,1078,1
16,Jaguars,Buccaneers,Buccaneers,225,92,25,12,213,52.7,101,23.9,1081,230,84,41,21,198,49.0,99,23.5,1078,1
12,Jaguars,Texans,Jaguars,227,81,29,16,185,48.4,110,23.5,1079,230,84,41,21,198,49.0,99,23.5,1078,0
17,Jets,Browns,Browns,230,67,15,6,136,44.3,87,20.7,1004,242,90,16,7,150,47.9,111,21.5,1087,1
5,Jets,Broncos,Jets,202,67,34,16,201,52.6,119,25.4,1083,242,90,16,7,150,47.9,111,21.5,1087,0
8,Jets,Giants,Jets,216,80,19,10,191,51.5,134,28.2,1091,242,90,16,7,150,47.9,111,21.5,1087,0
11,Jets,Bills,Bills,215,83,19,10,183,50.4,96,23.5,1015,242,90,16,7,150,47.9,111,21.5,1087,1
2,Jets,Cowboys,Cowboys,211,79,37,19,166,53.9,108,23.5,1014,242,90,16,7,150,47.9,111,21.5,1087,1
18,Jets,Patriots,Jets,237,86,19,10,181,48.9,100,20.8,1091,242,90,16,7,150,47.9,111,21.5,1087,0
15,Jets,Dolphins,Dolphins,216,84,30,14,186,49.0,109,25.2,1057,242,90,16,7,150,47.9,111,21.5,1087,1
10,Jets,Raiders,Raiders,227,94,26,14,187,49.7,117,24.4,1089,242,90,16,7,150,47.9,111,21.5,1087,1
4,Rams,Colts,Rams,240,89,26,17,192,51.9,123,23.8,1137,228,88,30,16,193,52.6,108,24.9,1078,0
14,Rams,Ravens,Ravens,250,91,32,13,175,45.6,96,23.1,1109,228,88,30,16,193,52.6,108,24.9,1078,1
1,Rams,Seahawks,Rams,231,107,26,13,202,51.8,143,27.8,1147,228,88,30,16,193,52.6,108,24.9,1078,0
17,Rams,Giants,Rams,216,80,19,10,191,51.5,134,28.2,1091,228,88,30,16,193,52.6,108,24.9,1078,0
