Week,Away Team,Home Team,Winning Team,Rec_home,Yds_home,Yds/Rec_home,TD_home,20_home,40_home,Lng_home,Rec 1st_home,Rec 1st%_home,Rec FUM_home,PDef_home,Rec_away,Yds_away,Yds/Rec_away,TD_away,20_away,40_away,Lng_away,Rec 1st_away,Rec 1st%_away,Rec FUM_away,PDef_away,Home_Win
8,Bengals,49ers,Bengals,410,3949,9.6,20,45,5,60,190,46.3,6,60,364,4480,12.3,23,65,11,86,201,55.2,4,80,0
1,Panthers,Falcons,Falcons,340,3707,10.9,24,49,6,61,183,53.8,3,78,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
14,Panthers,Saints,Saints,333,3768,11.3,22,48,9,71,167,50.2,4,68,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
10,Panthers,Bears,Bears,410,4245,10.4,31,48,10,75,196,47.8,4,80,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
3,Panthers,Seahawks,Seahawks,390,4259,10.9,21,57,10,54,202,51.8,5,74,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
5,Panthers,Lions,Lions,371,4562,12.3,28,69,9,92,209,56.3,3,57,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
12,Panthers,Titans,Titans,387,4181,10.8,20,52,11,59,189,48.8,2,79,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
13,Panthers,Buccaneers,Buccaneers,404,4568,11.3,23,65,9,76,213,52.7,6,89,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
17,Panthers,Jaguars,Jaguars,404,4355,10.8,27,47,13,76,198,49.0,5,73,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
6,Panthers,Dolphins,Dolphins,380,4132,10.9,27,57,10,75,186,49.0,6,66,309,3109,10.1,19,39,9,75,162,52.4,3,59,1
2,Packers,Falcons,Falcons,340,3707,10.9,24,49,6,61,183,53.8,3,78,342,3803,11.1,21,56,3,52,189,55.3,1,71,1
17,Packers,Vikings,Packers,426,4288,10.1,23,51,7,70,208,48.8,9,91,342,3803,11.1,21,56,3,52,189,55.3,1,71,0
10,Packers,Steelers,Steelers,348,4164,12.0,23,63,6,80,186,53.4,6,66,342,3803,11.1,21,56,3,52,189,55.3,1,71,1
1,Packers,Bears,Packers,410,4245,10.4,31,48,10,75,196,47.8,4,80,342,3803,11.1,21,56,3,52,189,55.3,1,71,0
7,Packers,Broncos,Broncos,382,4302,11.3,29,56,8,68,201,52.6,2,66,342,3803,11.1,21,56,3,52,189,55.3,1,71,1
14,Packers,Giants,Giants,371,4157,11.2,21,43,10,80,191,51.5,8,71,342,3803,11.1,21,56,3,52,189,55.3,1,71,1
12,Packers,Lions,Packers,371,4562,12.3,28,69,9,92,209,56.3,3,57,342,3803,11.1,21,56,3,52,189,55.3,1,71,0
16,Packers,Panthers,Packers,309,3109,10.1,19,39,9,75,162,52.4,3,59,342,3803,11.1,21,56,3,52,189,55.3,1,71,0
5,Packers,Raiders,Raiders,376,3900,10.4,21,43,11,79,187,49.7,4,78,342,3803,11.1,21,56,3,52,189,55.3,1,71,1
5,Texans,Falcons,Falcons,340,3707,10.9,24,49,6,61,183,53.8,3,78,382,4334,11.4,17,60,15,75,185,48.4,6,73,1
18,Texans,Colts,Texans,370,4157,11.2,21,54,8,75,192,51.9,4,79,382,4334,11.4,17,60,15,75,185,48.4,6,73,0
1,Texans,Ravens,Ravens,384,3717,9.7,18,46,6,71,175,45.6,3,47,382,4334,11.4,17,60,15,75,185,48.4,6,73,1
14,Texans,Jets,Jets,313,3182,10.2,19,39,7,81,150,47.9,5,89,382,4334,11.4,17,60,15,75,185,48.4,6,73,1
10,Texans,Bengals,Texans,364,4480,12.3,23,65,11,86,201,55.2,4,80,382,4334,11.4,17,60,15,75,185,48.4,6,73,0
15,Texans,Titans,Texans,387,4181,10.8,20,52,11,59,189,48.8,2,79,382,4334,11.4,17,60,15,75,185,48.4,6,73,0
3,Texans,Jaguars,Texans,404,4355,10.8,27,47,13,76,198,49.0,5,73,382,4334,11.4,17,60,15,75,185,48.4,6,73,0
8,Texans,Panthers,Panthers,309,3109,10.1,19,39,9,75,162,52.4,3,59,382,4334,11.4,17,60,15,75,185,48.4,6,73,1
6,Commanders,Falcons,Commanders,340,3707,10.9,24,49,6,61,183,53.8,3,78,396,4627,11.7,39,60,12,78,218,55.0,3,98,0
2,Commanders,Broncos,Commanders,382,4302,11.3,29,56,8,68,201,52.6,2,66,396,4627,11.7,39,60,12,78,218,55.0,3,98,0
4,Commanders,Eagles,Eagles,425,4551,10.7,35,56,6,69,222,52.2,6,80,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
10,Commanders,Seahawks,Seahawks,390,4259,10.9,21,57,10,54,202,51.8,5,74,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
7,Commanders,Giants,Giants,371,4157,11.2,21,43,10,80,191,51.5,8,71,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
16,Commanders,Jets,Jets,313,3182,10.2,19,39,7,81,150,47.9,5,89,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
15,Commanders,Rams,Rams,367,4195,11.4,24,57,10,80,193,52.6,2,60,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
12,Commanders,Cowboys,Cowboys,308,3481,11.3,21,47,7,73,166,53.9,5,82,396,4627,11.7,39,60,12,78,218,55.0,3,98,1
9,Commanders,Patriots,Commanders,370,3791,10.2,19,48,6,51,181,48.9,3,89,396,4627,11.7,39,60,12,78,218,55.0,3,98,0
9,Vikings,Falcons,Vikings,340,3707,10.9,24,49,6,61,183,53.8,3,78,426,4288,10.1,23,51,7,70,208,48.8,9,91,0
6,Vikings,Bears,Vikings,410,4245,10.4,31,48,10,75,196,47.8,4,80,426,4288,10.1,23,51,7,70,208,48.8,9,91,0
11,Vikings,Broncos,Broncos,382,4302,11.3,29,56,8,68,201,52.6,2,66,426,4288,10.1,23,51,7,70,208,48.8,9,91,1
2,Vikings,Eagles,Eagles,425,4551,10.7,35,56,6,69,222,52.2,6,80,426,4288,10.1,23,51,7,70,208,48.8,9,91,1
15,Vikings,Bengals,Bengals,364,4480,12.3,23,65,11,86,201,55.2,4,80,426,4288,10.1,23,51,7,70,208,48.8,9,91,1
18,Vikings,Lions,Lions,371,4562,12.3,28,69,9,92,209,56.3,3,57,426,4288,10.1,23,51,7,70,208,48.8,9,91,1
4,Vikings,Panthers,Vikings,309,3109,10.1,19,39,9,75,162,52.4,3,59,426,4288,10.1,23,51,7,70,208,48.8,9,91,0
8,Vikings,Packers,Vikings,342,3803,11.1,21,56,3,52,189,55.3,1,71,426,4288,10.1,23,51,7,70,208,48.8,9,91,0
14,Vikings,Raiders,Vikings,376,3900,10.4,21,43,11,79,187,49.7,4,78,426,4288,10.1,23,51,7,70,208,48.8,9,91,0
12,Saints,Falcons,Falcons,340,3707,10.9,24,49,6,61,183,53.8,3,78,333,3768,11.3,22,48,9,71,167,50.2,4,68,1
8,Saints,Colts,Saints,370,4157,11.2,21,54,8,75,192,51.9,4,79,333,3768,11.3,22,48,9,71,167,50.2,4,68,0
10,Saints,Vikings,Vikings,426,4288,10.1,23,51,7,70,208,48.8,9,91,333,3768,11.3,22,48,9,71,167,50.2,4,68,1
17,Saints,Buccaneers,Saints,404,4568,11.3,23,65,9,76,213,52.7,6,89,333,3768,11.3,22,48,9,71,167,50.2,4,68,0
6,Saints,Texans,Texans,382,4334,11.4,17,60,15,75,185,48.4,6,73,333,3768,11.3,22,48,9,71,167,50.2,4,68,1
16,Saints,Rams,Rams,367,4195,11.4,24,57,10,80,193,52.6,2,60,333,3768,11.3,22,48,9,71,167,50.2,4,68,1
5,Saints,Patriots,Saints,370,3791,10.2,19,48,6,51,181,48.9,3,89,333,3768,11.3,22,48,9,71,167,50.2,4,68,0
2,Saints,Panthers,Saints,309,3109,10.1,19,39,9,75,162,52.4,3,59,333,3768,11.3,22,48,9,71,167,50.2,4,68,0
3,Saints,Packers,Packers,342,3803,11.1,21,56,3,52,189,55.3,1,71,333,3768,11.3,22,48,9,71,167,50.2,4,68,1
14,Buccaneers,Falcons,Buccaneers,340,3707,10.9,24,49,6,61,183,53.8,3,78,404,4568,11.3,23,65,9,76,213,52.7,6,89,0
12,Buccaneers,Colts,Colts,370,4157,11.2,21,54,8,75,192,51.9,4,79,404,4568,11.3,23,65,9,76,213,52.7,6,89,1
1,Buccaneers,Vikings,Buccaneers,426,4288,10.1,23,51,7,70,208,48.8,9,91,404,4568,11.3,23,65,9,76,213,52.7,6,89,0
4,Buccaneers,Saints,Buccaneers,333,3768,11.3,22,48,9,71,167,50.2,4,68,404,4568,11.3,23,65,9,76,213,52.7,6,89,0
8,Buccaneers,Bills,Bills,363,3676,10.1,18,44,1,48,183,50.4,7,67,404,4568,11.3,23,65,9,76,213,52.7,6,89,1
9,Buccaneers,Texans,Texans,382,4334,11.4,17,60,15,75,185,48.4,6,73,404,4568,11.3,23,65,9,76,213,52.7,6,89,1
