Week,Away Team,Home Team,Winning Team,FGM_home,FG %_home,XPM_home,XP Pct_home,KRet TD_home,PRet T_home,FGM_away,FG %_away,XPM_away,XP Pct_away,KRet TD_away,PRet T_away,Home_Win
8,Jaguars,Steelers,Jaguars,29,93.6,27,96.4,0,0,30,81.1,35,100.0,0,0,0
5,Jaguars,Bills,Jaguars,24,82.8,49,98.0,0,1,30,81.1,35,100.0,0,0,0
18,Jaguars,Titans,Titans,29,96.7,28,93.3,0,0,30,81.1,35,100.0,0,0,1
16,Jaguars,Buccaneers,Buccaneers,29,93.6,33,100.0,0,0,30,81.1,35,100.0,0,0,1
12,Jaguars,Texans,Jaguars,34,89.5,31,93.9,2,0,30,81.1,35,100.0,0,0,0
17,Jets,Browns,Browns,34,91.9,30,90.9,0,0,36,92.3,16,94.1,0,1,1
5,Jets,Broncos,Jets,30,88.2,29,93.6,1,0,36,92.3,16,94.1,0,1,0
8,Jets,Giants,Jets,22,71.0,24,96.0,0,1,36,92.3,16,94.1,0,1,0
11,Jets,Bills,Bills,24,82.8,49,98.0,0,1,36,92.3,16,94.1,0,1,1
2,Jets,Cowboys,Cowboys,36,94.7,49,94.2,0,0,36,92.3,16,94.1,0,1,1
18,Jets,Patriots,Jets,16,64.0,24,96.0,1,0,36,92.3,16,94.1,0,1,0
15,Jets,Dolphins,Dolphins,24,85.7,58,98.3,0,0,36,92.3,16,94.1,0,1,1
10,Jets,Raiders,Raiders,26,86.7,32,100.0,0,0,36,92.3,16,94.1,0,1,1
4,Rams,Colts,Rams,33,80.5,35,97.2,0,0,32,74.4,32,86.5,0,0,0
14,Rams,Ravens,Ravens,32,86.5,51,98.1,0,1,32,74.4,32,86.5,0,0,1
1,Rams,Seahawks,Rams,35,83.3,33,100.0,0,0,32,74.4,32,86.5,0,0,0
17,Rams,Giants,Rams,22,71.0,24,96.0,0,1,32,74.4,32,86.5,0,0,0
3,Rams,Bengals,Bengals,26,83.9,40,100.0,0,1,32,74.4,32,86.5,0,0,1
12,Rams,Cardinals,Rams,28,84.8,22,95.6,0,0,32,74.4,32,86.5,0,0,0
8,Rams,Cowboys,Cowboys,36,94.7,49,94.2,0,0,32,74.4,32,86.5,0,0,1
18,Rams,49ers,Rams,21,84.0,60,98.4,0,0,32,74.4,32,86.5,0,0,0
9,Rams,Packers,Packers,27,81.8,34,87.2,0,0,32,74.4,32,86.5,0,0,1
7,Browns,Colts,Browns,33,80.5,35,97.2,0,0,34,91.9,30,90.9,0,0,0
2,Browns,Steelers,Steelers,29,93.6,27,96.4,0,0,34,91.9,30,90.9,0,0,1
10,Browns,Ravens,Browns,32,86.5,51,98.1,0,1,34,91.9,30,90.9,0,0,0
12,Browns,Broncos,Broncos,30,88.2,29,93.6,1,0,34,91.9,30,90.9,0,0,1
8,Browns,Seahawks,Seahawks,35,83.3,33,100.0,0,0,34,91.9,30,90.9,0,0,1
18,Browns,Bengals,Bengals,26,83.9,40,100.0,0,1,34,91.9,30,90.9,0,0,1
16,Browns,Texans,Browns,34,89.5,31,93.9,2,0,34,91.9,30,90.9,0,0,0
13,Browns,Rams,Rams,32,74.4,32,86.5,0,0,34,91.9,30,90.9,0,0,1
5,Chiefs,Vikings,Chiefs,24,80.0,36,94.7,0,0,33,94.3,38,100.0,0,0,0
8,Chiefs,Broncos,Broncos,30,88.2,29,93.6,1,0,33,94.3,38,100.0,0,0,1
18,Chiefs,Chargers,Chiefs,31,93.9,35,100.0,0,1,33,94.3,38,100.0,0,0,0
4,Chiefs,Jets,Chiefs,36,92.3,16,94.1,0,1,33,94.3,38,100.0,0,0,0
2,Chiefs,Jaguars,Chiefs,30,81.1,35,100.0,0,0,33,94.3,38,100.0,0,0,0
15,Chiefs,Patriots,Patriots,16,64.0,24,96.0,1,0,33,94.3,38,100.0,0,0,0
13,Chiefs,Packers,Packers,27,81.8,34,87.2,0,0,33,94.3,38,100.0,0,0,1
12,Chiefs,Raiders,Chiefs,26,86.7,32,100.0,0,0,33,94.3,38,100.0,0,0,0
15,Giants,Saints,Saints,30,81.1,40,100.0,0,1,22,71.0,24,96.0,0,1,1
11,Giants,Commanders,Giants,19,79.2,32,91.4,0,0,22,71.0,24,96.0,0,1,0
16,Giants,Eagles,Eagles,30,93.8,45,97.8,0,0,22,71.0,24,96.0,0,1,1
6,Giants,Bills,Bills,24,82.8,49,98.0,0,1,22,71.0,24,96.0,0,1,1
2,Giants,Cardinals,Giants,28,84.8,22,95.6,0,0,22,71.0,24,96.0,0,1,0
10,Giants,Cowboys,Cowboys,36,94.7,49,94.2,0,0,22,71.0,24,96.0,0,1,1
3,Giants,49ers,49ers,21,84.0,60,98.4,0,0,22,71.0,24,96.0,0,1,1
5,Giants,Dolphins,Dolphins,24,85.7,58,98.3,0,0,22,71.0,24,96.0,0,1,1
9,Giants,Raiders,Raiders,26,86.7,32,100.0,0,0,22,71.0,24,96.0,0,1,1
18,Falcons,Saints,Saints,30,81.1,40,100.0,0,1,32,86.5,27,96.4,0,0,1
17,Falcons,Bears,Bears,35,92.1,31,93.9,0,0,32,86.5,27,96.4,0,0,1
3,Falcons,Lions,Lions,19,90.5,48,92.3,0,0,32,86.5,27,96.4,0,0,1
8,Falcons,Titans,Titans,29,96.7,28,93.3,0,0,32,86.5,27,96.4,0,0,1
7,Falcons,Buccaneers,Falcons,29,93.6,33,100.0,0,0,32,86.5,27,96.4,0,0,0
4,Falcons,Jaguars,Jaguars,30,81.1,35,100.0,0,0,32,86.5,27,96.4,0,0,1
10,Falcons,Cardinals,Cardinals,28,84.8,22,95.6,0,0,32,86.5,27,96.4,0,0,1
15,Falcons,Panthers,Panthers,25,83.3,17,85.0,0,1,32,86.5,27,96.4,0,0,1
