Week,Away Team,Home Team,Winning Team,Att_home,Rush Yds_home,YPC_home,TD_home,20_home,40_home,Lng_home,Rush 1st_home,Rush 1st%_home,Rush FUM_home,Att_away,Rush Yds_away,YPC_away,TD_away,20_away,40_away,Lng_away,Rush 1st_away,Rush 1st%_away,Rush FUM_away,Home_Win
7,Falcons,Buccaneers,Falcons,439,1509,3.4,8,5,0,38,79,18.0,4,522,2159,4.1,14,11,0,38,121,23.2,13,0
4,Falcons,Jaguars,Jaguars,453,1646,3.6,17,9,1,62,98,21.6,5,522,2159,4.1,14,11,0,38,121,23.2,13,1
10,Falcons,Cardinals,Cardinals,471,2365,5.0,17,23,5,49,127,27.0,9,522,2159,4.1,14,11,0,38,121,23.2,13,1
15,Falcons,Panthers,Panthers,445,1769,4.0,7,9,1,48,111,24.9,5,522,2159,4.1,14,11,0,38,121,23.2,13,1
14,Patriots,Steelers,Patriots,487,2010,4.1,16,14,1,74,115,23.6,9,415,1627,3.9,9,3,1,64,93,22.4,3,0
16,Patriots,Broncos,Patriots,451,1810,4.0,8,9,0,38,116,25.7,5,415,1627,3.9,9,3,1,64,93,22.4,3,0
1,Patriots,Eagles,Eagles,510,2190,4.3,22,11,1,43,149,29.2,9,415,1627,3.9,9,3,1,64,93,22.4,3,1
12,Patriots,Giants,Giants,454,1874,4.1,10,12,0,36,97,21.4,8,415,1627,3.9,9,3,1,64,93,22.4,3,1
3,Patriots,Jets,Patriots,388,1647,4.2,7,9,4,83,77,19.8,11,415,1627,3.9,9,3,1,64,93,22.4,3,0
17,Patriots,Bills,Bills,512,2212,4.3,22,9,1,42,158,30.9,9,415,1627,3.9,9,3,1,64,93,22.4,3,1
4,Patriots,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,415,1627,3.9,9,3,1,64,93,22.4,3,1
8,Patriots,Dolphins,Dolphins,456,2308,5.1,27,17,8,76,113,24.8,13,415,1627,3.9,9,3,1,64,93,22.4,3,1
6,Patriots,Raiders,Raiders,413,1542,3.7,11,7,3,63,83,20.1,5,415,1627,3.9,9,3,1,64,93,22.4,3,1
18,Cowboys,Commanders,Cowboys,359,1592,4.4,14,8,0,29,99,27.6,6,468,1920,4.1,14,12,1,46,113,24.2,4,0
9,Cowboys,Eagles,Eagles,510,2190,4.3,22,11,1,43,149,29.2,9,468,1920,4.1,14,12,1,46,113,24.2,4,1
6,Cowboys,Chargers,Cowboys,431,1642,3.8,11,9,3,55,89,20.6,6,468,1920,4.1,14,12,1,46,113,24.2,4,0
1,Cowboys,Giants,Cowboys,454,1874,4.1,10,12,0,36,97,21.4,8,468,1920,4.1,14,12,1,46,113,24.2,4,0
15,Cowboys,Bills,Bills,512,2212,4.3,22,9,1,42,158,30.9,9,468,1920,4.1,14,12,1,46,113,24.2,4,1
3,Cowboys,Cardinals,Cardinals,471,2365,5.0,17,23,5,49,127,27.0,9,468,1920,4.1,14,12,1,46,113,24.2,4,1
11,Cowboys,Panthers,Cowboys,445,1769,4.0,7,9,1,48,111,24.9,5,468,1920,4.1,14,12,1,46,113,24.2,4,0
5,Cowboys,49ers,49ers,499,2389,4.8,27,11,3,72,147,29.5,5,468,1920,4.1,14,12,1,46,113,24.2,4,1
16,Cowboys,Dolphins,Dolphins,456,2308,5.1,27,17,8,76,113,24.8,13,468,1920,4.1,14,12,1,46,113,24.2,4,1
9,Seahawks,Ravens,Ravens,541,2661,4.9,26,21,4,60,144,26.6,7,382,1580,4.1,11,13,1,45,93,24.4,2,1
4,Seahawks,Giants,Seahawks,454,1874,4.1,10,12,0,36,97,21.4,8,382,1580,4.1,11,13,1,45,93,24.4,2,0
6,Seahawks,Bengals,Bengals,383,1527,4.0,12,7,1,44,90,23.5,1,382,1580,4.1,11,13,1,45,93,24.4,2,1
2,Seahawks,Lions,Seahawks,500,2311,4.6,27,15,3,75,124,24.8,7,382,1580,4.1,11,13,1,45,93,24.4,2,0
16,Seahawks,Titans,Seahawks,444,1846,4.2,16,10,2,69,103,23.2,6,382,1580,4.1,11,13,1,45,93,24.4,2,0
11,Seahawks,Rams,Rams,477,2045,4.3,18,11,1,56,110,23.1,2,382,1580,4.1,11,13,1,45,93,24.4,2,1
18,Seahawks,Cardinals,Seahawks,471,2365,5.0,17,23,5,49,127,27.0,9,382,1580,4.1,11,13,1,45,93,24.4,2,0
13,Seahawks,Cowboys,Cowboys,468,1920,4.1,14,12,1,46,113,24.2,4,382,1580,4.1,11,13,1,45,93,24.4,2,1
14,Seahawks,49ers,49ers,499,2389,4.8,27,11,3,72,147,29.5,5,382,1580,4.1,11,13,1,45,93,24.4,2,1
