Week,Away Team,Home Team,Winning Team,KO_home,Yds_home,TB_home,TB %_home,Ret_home,Ret Avg_home,OSK_home,OSK Rec_home,OOB_home,TD_home,KO_away,Yds_away,TB_away,TB %_away,Ret_away,Ret Avg_away,OSK_away,OSK Rec_away,OOB_away,TD_away,Home_Win
16,Patriots,Broncos,Patriots,82,5190,71,86.6,8,21.5,3,0,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,0
1,Patriots,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,1
12,Patriots,Giants,Giants,65,4110,38,58.5,16,23.6,0,0,1,0,61,3830,39,63.9,21,20.6,1,0,0,0,1
3,Patriots,Jets,Patriots,73,4651,62,84.9,8,15.4,1,0,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,0
17,Patriots,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,61,3830,39,63.9,21,20.6,1,0,0,0,1
4,Patriots,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,61,3830,39,63.9,21,20.6,1,0,0,0,1
8,Patriots,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,61,3830,39,63.9,21,20.6,1,0,0,0,1
6,Patriots,Raiders,Raiders,78,4977,48,61.5,28,22.8,1,0,0,0,61,3830,39,63.9,21,20.6,1,0,0,0,1
18,Cowboys,Commanders,Cowboys,72,4520,64,88.9,5,27.8,3,0,1,0,109,7068,99,90.8,8,24.8,0,0,1,0,0
9,Cowboys,Eagles,Eagles,91,5846,73,80.2,17,28.9,1,0,0,0,109,7068,99,90.8,8,24.8,0,0,1,0,1
6,Cowboys,Chargers,Cowboys,81,5168,68,84.0,11,19.4,1,0,0,0,109,7068,99,90.8,8,24.8,0,0,1,0,0
1,Cowboys,Giants,Cowboys,65,4110,38,58.5,16,23.6,0,0,1,0,109,7068,99,90.8,8,24.8,0,0,1,0,0
15,Cowboys,Bills,Bills,95,5952,53,55.8,29,22.4,1,0,1,1,109,7068,99,90.8,8,24.8,0,0,1,0,1
3,Cowboys,Cardinals,Cardinals,79,4843,66,83.5,6,22.2,5,1,0,0,109,7068,99,90.8,8,24.8,0,0,1,0,1
11,Cowboys,Panthers,Cowboys,62,3749,37,59.7,20,23.9,4,0,1,0,109,7068,99,90.8,8,24.8,0,0,1,0,0
5,Cowboys,49ers,49ers,97,6131,58,59.8,32,23.3,0,0,2,0,109,7068,99,90.8,8,24.8,0,0,1,0,1
16,Cowboys,Dolphins,Dolphins,98,6327,83,84.7,15,30.5,0,0,0,1,109,7068,99,90.8,8,24.8,0,0,1,0,1
9,Seahawks,Ravens,Ravens,104,6638,80,76.9,20,23.0,1,0,1,0,86,5428,55,64.0,22,22.2,1,0,1,0,1
4,Seahawks,Giants,Seahawks,65,4110,38,58.5,16,23.6,0,0,1,0,86,5428,55,64.0,22,22.2,1,0,1,0,0
6,Seahawks,Bengals,Bengals,82,5162,63,76.8,13,17.0,2,0,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,1
2,Seahawks,Lions,Seahawks,93,5814,60,64.5,27,20.8,3,0,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,0
16,Seahawks,Titans,Seahawks,72,4508,34,47.2,35,23.3,2,0,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,0
11,Seahawks,Rams,Rams,92,5865,80,87.0,11,26.9,1,0,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,1
18,Seahawks,Cardinals,Seahawks,79,4843,66,83.5,6,22.2,5,1,0,0,86,5428,55,64.0,22,22.2,1,0,1,0,0
13,Seahawks,Cowboys,Cowboys,109,7068,99,90.8,8,24.8,0,0,1,0,86,5428,55,64.0,22,22.2,1,0,1,0,1
14,Seahawks,49ers,49ers,97,6131,58,59.8,32,23.3,0,0,2,0,86,5428,55,64.0,22,22.2,1,0,1,0,1
