Week,Away Team,Home Team,Winning Team,3rd Att_home,3rd Md_home,4th Att_home,4th Md_home,Rec 1st_home,Rec 1st%_home,Rush 1st_home,Rush 1st%_home,Scrm Plys_home,3rd Att_away,3rd Md_away,4th Att_away,4th Md_away,Rec 1st_away,Rec 1st%_away,Rush 1st_away,Rush 1st%_away,Scrm Plys_away,Home_Win
11,Cardinals,Texans,Texans,232,88,21,8,215,57.8,84,18.9,1083,225,88,34,15,173,48.7,127,27.0,1068,1
6,Cardinals,Rams,Rams,226,95,21,13,206,57.1,110,23.1,1094,225,88,34,15,173,48.7,127,27.0,1068,1
4,Cardinals,49ers,49ers,179,85,13,7,207,61.6,147,29.5,1024,225,88,34,15,173,48.7,127,27.0,1068,1
11,Steelers,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,232,85,19,9,153,47.4,115,23.6,1029,1
15,Steelers,Colts,Colts,232,82,32,16,178,50.1,113,23.6,1094,232,85,19,9,153,47.4,115,23.6,1029,1
18,Steelers,Ravens,Steelers,207,87,14,8,180,54.9,144,26.6,1076,232,85,19,9,153,47.4,115,23.6,1029,0
17,Steelers,Seahawks,Steelers,207,75,16,6,189,50.9,93,24.4,995,232,85,19,9,153,47.4,115,23.6,1029,0
12,Steelers,Bengals,Steelers,218,82,20,9,208,49.5,90,23.5,1048,232,85,19,9,153,47.4,115,23.6,1029,0
4,Steelers,Texans,Texans,232,88,21,8,215,57.8,84,18.9,1083,232,85,19,9,153,47.4,115,23.6,1029,1
7,Steelers,Rams,Steelers,226,95,21,13,206,57.1,110,23.1,1094,232,85,19,9,153,47.4,115,23.6,1029,0
3,Steelers,Raiders,Steelers,216,77,23,14,182,52.3,83,20.1,1010,232,85,19,9,153,47.4,115,23.6,1029,0
14,Jaguars,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,228,87,29,13,199,48.3,98,21.6,1114,1
1,Jaguars,Colts,Jaguars,232,82,32,16,178,50.1,113,23.6,1094,228,87,29,13,199,48.3,98,21.6,1114,0
7,Jaguars,Saints,Jaguars,235,91,19,9,199,49.0,112,23.3,1121,228,87,29,13,199,48.3,98,21.6,1114,0
8,Jaguars,Steelers,Jaguars,232,85,19,9,153,47.4,115,23.6,1029,228,87,29,13,199,48.3,98,21.6,1114,0
5,Jaguars,Bills,Jaguars,219,109,16,9,199,51.7,158,30.9,1115,228,87,29,13,199,48.3,98,21.6,1114,0
18,Jaguars,Titans,Titans,212,71,20,11,158,52.0,103,23.2,1002,228,87,29,13,199,48.3,98,21.6,1114,1
16,Jaguars,Buccaneers,Buccaneers,236,98,18,12,188,51.6,79,18.0,1047,228,87,29,13,199,48.3,98,21.6,1114,1
12,Jaguars,Texans,Jaguars,232,88,21,8,215,57.8,84,18.9,1083,228,87,29,13,199,48.3,98,21.6,1114,0
17,Jets,Browns,Browns,253,80,32,18,173,48.7,121,23.4,1187,235,61,29,17,156,43.8,77,19.8,1053,1
5,Jets,Broncos,Jets,220,81,20,13,154,45.7,116,25.7,1016,235,61,29,17,156,43.8,77,19.8,1053,0
8,Jets,Giants,Jets,248,75,37,18,141,41.7,97,21.4,1057,235,61,29,17,156,43.8,77,19.8,1053,0
11,Jets,Bills,Bills,219,109,16,9,199,51.7,158,30.9,1115,235,61,29,17,156,43.8,77,19.8,1053,1
2,Jets,Cowboys,Cowboys,230,111,23,13,229,53.5,113,24.2,1122,235,61,29,17,156,43.8,77,19.8,1053,1
18,Jets,Patriots,Jets,222,67,25,9,153,43.6,93,22.4,1020,235,61,29,17,156,43.8,77,19.8,1053,0
15,Jets,Dolphins,Dolphins,202,85,25,11,223,56.7,113,24.8,1053,235,61,29,17,156,43.8,77,19.8,1053,1
10,Jets,Raiders,Raiders,216,77,23,14,182,52.3,83,20.1,1010,235,61,29,17,156,43.8,77,19.8,1053,1
4,Rams,Colts,Rams,232,82,32,16,178,50.1,113,23.6,1094,226,95,21,13,206,57.1,110,23.1,1094,0
14,Rams,Ravens,Ravens,207,87,14,8,180,54.9,144,26.6,1076,226,95,21,13,206,57.1,110,23.1,1094,1
1,Rams,Seahawks,Rams,207,75,16,6,189,50.9,93,24.4,995,226,95,21,13,206,57.1,110,23.1,1094,0
17,Rams,Giants,Rams,248,75,37,18,141,41.7,97,21.4,1057,226,95,21,13,206,57.1,110,23.1,1094,0
