Week,Away Team,Home Team,Winning Team,INT_home,INT TD_home,INT Yds_home,Lng_home,INT_away,INT TD_away,INT Yds_away,Lng_away,Home_Win
6,Giants,Bills,Bills,18,2,148,40,18,3,404,102,1
2,Giants,Cardinals,Giants,11,0,98,46,18,3,404,102,0
10,Giants,Cowboys,Cowboys,17,5,249,63,18,3,404,102,1
3,Giants,49ers,49ers,22,1,309,66,18,3,404,102,1
5,Giants,Dolphins,Dolphins,15,4,270,99,18,3,404,102,1
9,Giants,Raiders,Raiders,13,3,268,75,18,3,404,102,1
18,Falcons,Saints,Saints,18,1,185,74,8,1,124,92,1
17,Falcons,Bears,Bears,22,2,245,45,8,1,124,92,1
3,Falcons,Lions,Lions,16,1,209,50,8,1,124,92,1
8,Falcons,Titans,Titans,6,1,86,44,8,1,124,92,1
7,Falcons,Buccaneers,Falcons,13,1,93,28,8,1,124,92,0
4,Falcons,Jaguars,Jaguars,16,2,264,61,8,1,124,92,1
10,Falcons,Cardinals,Cardinals,11,0,98,46,8,1,124,92,1
15,Falcons,Panthers,Panthers,8,2,203,99,8,1,124,92,1
14,Patriots,Steelers,Patriots,16,1,184,32,10,0,96,32,0
16,Patriots,Broncos,Patriots,11,0,85,33,10,0,96,32,0
1,Patriots,Eagles,Eagles,9,2,207,99,10,0,96,32,1
12,Patriots,Giants,Giants,18,3,404,102,10,0,96,32,1
3,Patriots,Jets,Patriots,17,2,212,51,10,0,96,32,0
17,Patriots,Bills,Bills,18,2,148,40,10,0,96,32,1
4,Patriots,Cowboys,Cowboys,17,5,249,63,10,0,96,32,1
8,Patriots,Dolphins,Dolphins,15,4,270,99,10,0,96,32,1
6,Patriots,Raiders,Raiders,13,3,268,75,10,0,96,32,1
18,Cowboys,Commanders,Cowboys,8,0,85,52,17,5,249,63,0
9,Cowboys,Eagles,Eagles,9,2,207,99,17,5,249,63,1
6,Cowboys,Chargers,Cowboys,9,0,31,9,17,5,249,63,0
1,Cowboys,Giants,Cowboys,18,3,404,102,17,5,249,63,0
15,Cowboys,Bills,Bills,18,2,148,40,17,5,249,63,1
3,Cowboys,Cardinals,Cardinals,11,0,98,46,17,5,249,63,1
11,Cowboys,Panthers,Cowboys,8,2,203,99,17,5,249,63,0
5,Cowboys,49ers,49ers,22,1,309,66,17,5,249,63,1
16,Cowboys,Dolphins,Dolphins,15,4,270,99,17,5,249,63,1
9,Seahawks,Ravens,Ravens,18,1,258,52,11,3,177,97,1
4,Seahawks,Giants,Seahawks,18,3,404,102,11,3,177,97,0
6,Seahawks,Bengals,Bengals,17,1,152,30,11,3,177,97,1
2,Seahawks,Lions,Seahawks,16,1,209,50,11,3,177,97,0
16,Seahawks,Titans,Seahawks,6,1,86,44,11,3,177,97,0
11,Seahawks,Rams,Rams,10,0,100,42,11,3,177,97,1
18,Seahawks,Cardinals,Seahawks,11,0,98,46,11,3,177,97,0
13,Seahawks,Cowboys,Cowboys,17,5,249,63,11,3,177,97,1
14,Seahawks,49ers,49ers,22,1,309,66,11,3,177,97,1
